dataset,scheme,method,missing_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
ionosphere,mnar,naive,0.3,0.8873239436619718,0.022269560987101276,0.860086956521739,0.023499185522627086,0.9162631944524614,0.016933039446926857,0.9095652173913044,0.03832011223744468
ionosphere,mnar,naive,0.4,0.876056338028169,0.015428804436765267,0.8532173913043477,0.018370787198871984,0.906772778720996,0.011500453407017937,0.9071304347826088,0.04200279043750383
ionosphere,mnar,naive,0.5,0.8704225352112676,0.03645684255083038,0.8561739130434782,0.04530760231989017,0.9006859439189121,0.02690352681445758,0.9140869565217391,0.037428697177443356
ionosphere,mnar,oracle,0.1,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mnar,oracle,0.2,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mnar,oracle,0.3,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mnar,oracle,0.4,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mnar,oracle,0.5,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mnar,unlabeled,0.1,0.8845070422535212,0.015428804436765293,0.850608695652174,0.021644576980514255,0.9155349479603414,0.010576365790837598,0.9041739130434783,0.028240126166466074
ionosphere,mnar,unlabeled,0.2,0.8873239436619718,0.01408450704225354,0.8582608695652174,0.02101624180627298,0.9167304625199362,0.009664663826195272,0.8986086956521738,0.04405101012898274
ionosphere,mnar,unlabeled,0.3,0.8647887323943662,0.027455758717771735,0.8280869565217392,0.03357073619869686,0.9013024164597686,0.019794055600897174,0.8869565217391304,0.04467060709231761
ionosphere,mnar,unlabeled,0.4,0.8676056338028169,0.01605880880421323,0.8320869565217391,0.022881712759930742,0.903151628555069,0.011075407830470129,0.8817391304347826,0.041593950410787464
ionosphere,mnar,unlabeled,0.5,0.8591549295774648,0.02816901408450704,0.8237391304347825,0.03406681969539846,0.8967556681090351,0.02025420669761497,0.8568695652173913,0.05626228074300348
madelon,mar1,naive,0.1,0.5288461538461539,0.0050879832905088105,0.5288461538461539,0.005087983290508875,0.5235320507498803,0.0042529272944866955,0.5422307692307692,0.011461267917064295
